7.92-9.74: 这就是传奇武器双结棍
9.74-11.74: 你有没有想过这么小小一根双结棍
11.74-12.92: 到底有多大的威力
12.92-14.26: 那么正好永结无间
14.26-15.68: 在本次世界舞蹈大会上
15.68-17.84: 引入了四大舞蹈流派及宗师舞者
17.84-19.92: 其中代表中国的就是李小吴
19.92-22.02: 于是我们邀请到了拥有19项双结棍
22.02-23.7: 吉尼斯世界记录的谢德胜老师
23.7-25.46: 我们将和你一起来看一看
25.46-28.58: 学一学这项武门绝学双结棍
50.68-52.9: 所以谢老师今天我们学个什么比较好
52.9-54.34: 抒情背剑
54.86-56.72: 我们把双手拿起来
56.72-57.72: 双手持棍
57.72-59.88: 然后棍握在最前端
59.88-61.18: 然后你看没有
61.18-62.2: 拿到这边的时候
62.2-63.58: 棍撩不到自己
63.58-64.9: 所以手一定要伸直
65.34-66.76: 把棍抬起来
66.76-68.24: 手掌打开
68.24-69.98: 然后不断地往上撩
69.98-72.3: 然后又到另外一个手掌上
72.3-73.0: 对
73.0-74.74: 往上撩抬起来
74.74-76.24: 那需要注意的是
76.24-77.44: 换棍时另一只手
77.44-78.9: 要提前放到接棍的位置
78.9-79.9: 等待棍子落下
79.9-81.14: 然后立刻握紧
81.14-82.1: 再次往上撩
82.1-84.12: 那通过不断地重复练习
84.12-85.56: 你就可以轻松掌握
85.56-87.14: 苏擒卑剑这个入门动作
87.14-88.52: 那基于这套动作逻辑
88.52-89.76: 你还可以通过练习
89.76-91.4: 来掌握像这样的翻山越岭
91.4-92.56: 还有一花接木
92.56-93.66: 等换棍的动作
93.66-95.02: 但是一定要注意
95.02-96.3: 要用这种练习棍
96.3-97.5: 而不是实战棍
97.5-99.6: 否则结果会非常惨烈
99.6-101.14: 老弟 怕我了吧
101.14-104.4: 假如你想我在街头遇到了危险
104.4-106.76: 一定没有想到我有这样的技术吧
106.76-106.98: 对
106.98-107.12: 对
109.4-110.2: 那谢老师
110.2-112.14: 很多人说双接棍就是一个花架子
112.14-113.3: 它有实战价值
113.3-115.4: 那Tim今天我们要不要试一下
115.4-115.76: 我有
116.78-118.06: 打碎木板呢
118.06-119.9: 这个我觉得算是比较初级的体验
119.9-122.52: 但是你能确定不把我的手骨也一起打碎
122.52-123.5: 我是会非常感激的
123.5-124.62: 都可以体验一下
124.62-125.12: 都都
125.12-126.3: 双重体验
126.3-126.72: 好
134.2-135.94: 就是我虎口深藤
135.94-137.28: 这就是我以前
137.28-139.94: 这个叫什么武侠剧里面形容的方式
139.94-142.66: 这个对于我来说是小case
142.66-143.68: 还有个话
158.2-161.34: 通过高速镜头你可以清晰地看到谢老师的双接棍
161.34-164.26: 可以轻松地击碎着质地坚硬的牛大骨
164.82-165.56: 非常的恐怖
165.56-168.96: 对比本次勇结无间舞蹈大会的另一位宗师杰洛特的武器
168.96-169.78: 欧式常见
169.78-171.62: 欧剑则更深藏于刺砍
171.62-172.52: 在慢放之下
172.52-174.76: 它像切豆腐一样划开了这块肉
174.76-175.94: 但在打击力上
175.94-177.08: 它则逊于双接棍
177.08-179.66: 于是我们搞来了测量瞬间冲击力的仪器
179.66-181.5: 想来测一下谢老师的双接棍
181.5-183.54: 这一记的力量到底有多大
